Disease,Readcode,Medcode,ReadcodeDescr,Category
Sickle-cell trait,677C600,106623.0,Sickle cell gene carrier,Diagnosis of Sickle-cell trait
Sickle-cell trait,D105.00,3616.0,Sickle-cell trait,Diagnosis of Sickle-cell trait
