Disease,Readcode,Medcode,ReadcodeDescr,Category
Sick sinus syndrome,G57y300,5576.0,Sick sinus syndrome,Diagnosis of Sick sinus syndrome
Sick sinus syndrome,G57y400,7410.0,Sinoatrial node dysfunction NOS,Diagnosis of Sick sinus syndrome
